CHRONIC DISEASE LIST CONDITION,"CDA FOR CORE, PRIORITY AND SAVER PLANS",CDA FOR EXECUTIVE AND COMPREHENSIVE PLANS,MEDICINE CLASS,ACTIVE INGREDIENT,MEDICINE NAME AND STRENGTH
Asthma,R 205.00,R 205.00,"Adrenergics:
Long acting - Formoterol",Formoterol,Foratec HFA 120 dose                           12mcg/dose
Asthma,R 45.00,R 45.00,"Adrenergics:
Short acting - Salbutamol",Salbutamol,Azmaler 200 dose                                        100mcg
Asthma,R 45.00,R 45.00,"Adrenergics:
Short acting - Salbutamol",Salbutamol,Glenbute 200 dose                                       100mcg
Asthma,R 45.00,R 45.00,"Adrenergics:
Short acting - Salbutamol",Salbutamol,Ventimax CFC free 200 dose                       100mcg
Asthma,R 240.00,R 240.00,Formoterol and Beclomethasone,Formoterol and Beclomethasone,"Innuvair 120 dose                                     100/6mcg
(Only Executive and Comprehensive plans)"
Asthma,R 240.00,R 240.00,Formoterol and Budesonide,Formoterol and Budesonide,"Symbicord turbohaler 60 dose                320/9mcg
(Only Executive and Comprehensive plans)"
Asthma,R 240.00,R 240.00,Formoterol and Budesonide,Formoterol and Budesonide,Symbicord turbohaler 60 dose             160/4.5mcg
Asthma,R 240.00,R 240.00,Formoterol and Budesonide,Formoterol and Budesonide,"Symbicord turbohaler 120 dose           160/4.5mcg
(Only Executive and Comprehensive plans)"
Asthma,R 240.00,R 240.00,Formoterol and Budesonide,Formoterol and Budesonide,"Vannair 120 dose                80/4.5mcg; 160/4.5mcg
(Only Executive and Comprehensive plans)"
Asthma,R 240.00,R 240.00,Formoterol and Mometasone,Formoterol and Mometasone,"Dulera 120 dose                     100/5mcg; 200/5mcg
(Only Executive and Comprehensive plans)"
Asthma,R 275.00,R 275.00,Inhaled anticholinergics: Ipratropium bromide,Ipratropium bromide,Atrovent HFA 200 dose                                   20mcg
Asthma,R 190.00,R 190.00,Inhaled Glucocorticoids,Beclomethasone,Beclate 200 dose              50mcg; 100mcg; 200mcg
Asthma,R 190.00,R 190.00,Inhaled Glucocorticoids,Beclomethasone,Beclomethasone Glenmark 200 dose 50mcg; 100mcg; 200mcg
Asthma,R 190.00,R 190.00,Inhaled Glucocorticoids,Budesonide,Aeromide 300 dose                                      200mcg
Asthma,R 190.00,R 190.00,Inhaled Glucocorticoids,Budesonide,Budeflam HFA 300 dose               100mcg; 200mcg
Asthma,R 240.00,R 240.00,Salmeterol and Fluticasone,Salmeterol and Fluticasone,"Sereflo DPI 60 dose            50/100; 50/250; 50/500
(Not available on KeyCare plans)"
Asthma,R 240.00,R 240.00,Salmeterol and Fluticasone,Salmeterol and Fluticasone,Sereflo HFA 120 dose           25/50; 25/125; 25/250
Asthma,R 240.00,R 240.00,Salmeterol and Fluticasone,Salmeterol and Fluticasone,Sereflo HFA synchrobreathe 120 dose 25/50; 25/125; 25/250
Asthma,R 240.00,R 240.00,Vilanterol and Fluticasone combinations,Vilanterol and Fluticasone furoate,"Revinty ellipta 30 dose         92/22mcg; 184/22mcg
(Not available on KeyCare plans)"
Asthma,R 20.00,R 20.00,Systemic Corticosteroids: Prednisone,Prednisone,Be-Tabs Prednisone                                           5mg
Asthma,R 20.00,R 20.00,Systemic Corticosteroids: Prednisone,Prednisone,Panafcort                                                            5mg
Asthma,R 20.00,R 20.00,Systemic Corticosteroids: Prednisone,Prednisone,Trolic                                                                   5mg
Cardiac failure,R 80.00,R 90.00,ACE inhibitors and diuretics,Enalapril and diuretics,Acenten                                                    20/12.5mg
Cardiac failure,R 80.00,R 90.00,ACE inhibitors and diuretics,Enalapril and diuretics,Enpresil co
Cardiac failure,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Ciplasyl Plus                                               4/1.25mg
(Not available on KeyCare plans)"
Cardiac failure,R 80.00,R 90.00,ACE inhibitors and diuretics,Perindopril and diuretics,"Pearinda Plus                             4/1.25mg; 8/2.5mg
(Not available on KeyCare plans)"
